id_escola,id_estudante,score_exame_norm,gen_estud,Ver_padro,faixa_pont_adm_bottom 25%,faixa_pont_adm_mid 50%,faixa_pont_adm_top 25%,rv_adm_escola_bottom 25%,rv_adm_escola_mid 50%,rv_adm_escola_top 25%
1,1,1.5061852,0,0.7843622,1,0,0,0,1,0
1,4,-0.555112,0,-1.03397,0,1,0,0,1,0
1,6,-1.335315,1,-0.951318,0,1,0,0,1,0
1,7,-0.555112,1,-2.356393,0,0,1,0,1,0
1,13,-0.197611,1,-0.290107,0,1,0,0,1,0
1,14,-0.197611,1,0.0404992,0,1,0,0,1,0
1,16,2.3136012,0,0.7843622,1,0,0,0,1,0
1,17,-0.062088,0,-0.703364,0,1,0,0,1,0
1,22,0.4781942,1,-0.290107,0,1,0,0,1,0
1,27,0.1340672,1,0.1231502,0,1,0,0,1,0
1,28,2.3136012,1,0.6190592,1,0,0,0,1,0
1,31,-0.197611,1,0.2884532,0,1,0,0,1,0
1,36,1.0396082,0,-0.290107,0,1,0,0,1,0
1,43,0.8219882,1,0.7843622,1,0,0,0,1,0
1,56,1.4395322,1,0.8670142,1,0,0,0,1,0
1,57,-0.129085,1,-0.124804,0,1,0,0,1,0
1,59,-1.029067,1,-1.281924,0,0,1,0,1,0
1,62,1.8138272,1,0.4537562,1,0,0,0,1,0
1,63,0.7472282,0,1.2802712,1,0,0,0,1,0
1,64,-1.118624,0,-0.868667,0,1,0,0,1,0
1,65,0.8965662,1,0.8670142,1,0,0,0,1,0
1,66,0.2613242,1,0.3711052,0,1,0,0,1,0
1,73,1.5792202,1,0.2058022,0,1,0,0,1,0
1,80,0.9675862,0,-0.290107,0,1,0,0,1,0
1,82,0.0735362,0,-0.042152,0,1,0,0,1,0
1,86,1.4395322,0,1.6108772,1,0,0,0,1,0
1,88,0.3280722,0,0.3711052,1,0,0,0,1,0
1,90,-1.526653,1,-0.620713,0,1,0,0,1,0
1,95,2.4086922,0,1.1976192,1,0,0,0,1,0
1,105,-1.029067,0,-0.620713,0,1,0,0,1,0
1,108,1.7348992,1,1.6108772,1,0,0,0,1,0
1,109,2.0397092,0,1.6108772,1,0,0,0,1,0
1,112,2.4086922,1,2.4373912,1,0,0,0,1,0
1,113,-1.219486,1,-1.447227,0,0,1,0,1,0
1,115,-0.129085,1,-1.03397,0,1,0,0,1,0
1,117,-0.939378,0,-0.538061,0,1,0,0,1,0
1,121,2.2031212,1,2.5200432,1,0,0,0,1,0
1,124,-0.129085,1,1.1976192,1,0,0,0,1,0
1,134,-1.836687,1,0.0404992,0,1,0,0,1,0
1,137,0.6107292,1,2.1067862,1,0,0,0,1,0
1,138,0.5443412,0,0.3711052,0,1,0,0,1,0
1,141,0.9675862,0,0.2058022,0,1,0,0,1,0
1,142,-1.723882,1,-1.364576,0,0,1,0,1,0
1,143,0.2613242,0,0.6190592,1,0,0,0,1,0
1,145,0.1340672,0,0.2058022,0,1,0,0,1,0
1,155,1.7348992,1,2.1894372,1,0,0,0,1,0
1,158,1.0396082,1,-1.116621,0,0,1,0,1,0
1,172,0.0735362,1,1.1149682,1,0,0,0,1,0
1,173,0.3280722,1,-0.620713,0,1,0,0,1,0
1,175,1.9003352,1,2.0241342,1,0,0,0,1,0
1,177,0.1941492,1,0.0404992,0,1,0,0,1,0
1,183,1.5061852,0,0.6190592,1,0,0,0,1,0
1,188,0.9675862,1,1.0323172,1,0,0,0,1,0
1,191,0.4026692,1,0.3711052,1,0,0,0,1,0
1,192,1.6618062,1,0.2884532,0,1,0,0,1,0
1,193,-0.776109,1,-0.124804,0,1,0,0,1,0
1,197,0.8965662,1,-1.116621,0,0,1,0,1,0
1,198,-1.029067,0,-0.372758,0,1,0,0,1,0
1,199,1.0396082,0,-1.199273,0,0,1,0,1,0
1,202,-0.623051,1,-1.116621,0,0,1,0,1,0
1,205,1.2405332,0,1.1149682,1,0,0,0,1,0
1,208,1.7348992,0,1.0323172,1,0,0,0,1,0
1,211,1.3101422,1,0.7843622,1,0,0,0,1,0
1,212,-0.492781,1,-2.356393,0,0,1,0,1,0
1,215,0.8965662,1,0.3711052,1,0,0,0,1,0
1,219,1.9003352,0,-0.042152,0,1,0,0,1,0
1,221,0.3280722,0,-0.951318,0,1,0,0,1,0
1,223,0.4781942,1,-0.124804,0,1,0,0,1,0
2,1,-0.555112,0,-0.124804,0,1,0,0,0,1
2,3,2.0397092,0,0.2884532,0,1,0,0,0,1
2,5,0.6107292,0,-0.45541,0,1,0,0,0,1
2,8,-1.118624,0,-0.620713,0,1,0,0,0,1
2,11,-0.623051,0,-1.695182,0,0,1,0,0,1
2,15,2.0397092,0,0.3711052,0,1,0,0,0,1
2,26,1.7348992,0,1.9414832,1,0,0,0,0,1
2,31,2.7018012,0,2.0241342,1,0,0,0,0,1
2,32,-1.962075,0,-0.45541,0,1,0,0,0,1
2,35,0.3280722,0,1.3629222,1,0,0,0,0,1
2,40,-0.265159,0,-0.538061,0,1,0,0,0,1
2,43,3.1340482,0,1.2802712,1,0,0,0,0,1
2,44,1.6618062,0,0.7017112,1,0,0,0,0,1
2,46,2.1029752,0,2.1894372,1,0,0,0,0,1
2,49,-1.335315,0,-1.116621,0,0,1,0,0,1
2,50,-0.85267,0,-1.116621,0,0,1,0,0,1
2,53,0.6107292,0,-0.042152,0,1,0,0,0,1
2,54,0.6107292,0,-0.45541,0,1,0,0,0,1
2,55,0.4026692,0,1.2802712,1,0,0,0,0,1
2,57,-1.219486,0,0.2058022,0,1,0,0,0,1
2,59,1.8138272,0,2.4373912,1,0,0,0,0,1
2,60,1.9771072,0,2.0241342,1,0,0,0,0,1
2,61,1.1094382,0,2.1894372,1,0,0,0,0,1
2,65,1.0396082,0,1.6108772,1,0,0,0,0,1
2,68,0.7472282,0,0.0404992,0,1,0,0,0,1
2,77,2.9246672,0,0.9496652,1,0,0,0,0,1
2,78,2.7018012,0,-0.45541,0,1,0,0,0,1
2,84,-0.129085,0,-1.281924,0,0,1,0,0,1
2,87,-0.129085,0,-0.538061,0,1,0,0,0,1
2,91,1.5061852,0,1.0323172,1,0,0,0,0,1
2,95,0.6107292,0,0.2884532,0,1,0,0,0,1
2,100,1.5792202,0,0.1231502,0,1,0,0,0,1
2,102,-1.118624,0,-0.620713,0,1,0,0,0,1
2,104,1.7348992,0,1.2802712,1,0,0,0,0,1
2,108,0.4781942,0,0.7017112,1,0,0,0,0,1
2,109,2.4086922,0,0.6190592,1,0,0,0,0,1
2,110,0.0043222,0,-0.620713,0,1,0,0,0,1
2,112,0.4026692,0,0.7843622,1,0,0,0,0,1
2,113,-0.623051,0,-0.786016,0,1,0,0,0,1
2,115,0.8219882,0,-0.372758,0,1,0,0,0,1
2,119,2.4086922,0,1.9414832,1,0,0,0,0,1
2,129,-1.029067,0,-0.868667,0,1,0,0,0,1
2,131,0.5443412,0,0.3711052,0,1,0,0,0,1
2,132,2.2031212,0,1.2802712,1,0,0,0,0,1
2,134,0.6107292,0,1.3629222,1,0,0,0,0,1
2,135,3.1340482,0,1.0323172,1,0,0,0,0,1
2,137,1.4395322,0,0.0404992,0,1,0,0,0,1
2,138,1.0396082,0,-0.290107,0,1,0,0,0,1
2,143,-0.623051,0,-0.45541,0,1,0,0,0,1
2,147,0.6107292,0,0.1231502,0,1,0,0,0,1
3,9,1.4395322,1,0.7017112,1,0,0,0,0,1
3,12,1.9771072,1,2.4373912,1,0,0,0,0,1
3,18,1.2405332,1,1.0323172,1,0,0,0,0,1
3,20,1.3747412,0,0.3711052,0,1,0,0,0,1
3,22,1.5792202,0,0.9496652,1,0,0,0,0,1
3,36,2.0397092,1,2.4373912,1,0,0,0,0,1
3,41,1.8138272,0,1.2802712,1,0,0,0,0,1
3,42,2.2031212,1,1.8588312,1,0,0,0,0,1
3,46,0.8219882,0,1.0323172,1,0,0,0,0,1
3,54,-0.492781,0,0.2884532,0,1,0,0,0,1
3,60,0.7472282,1,0.5364082,1,0,0,0,0,1
3,67,0.6107292,0,1.2802712,1,0,0,0,0,1
3,71,0.9675862,1,0.5364082,0,1,0,0,0,1
3,73,2.2031212,1,-0.042152,0,1,0,0,0,1
3,83,-0.197611,1,0.6190592,1,0,0,0,0,1
3,86,1.4395322,1,0.0404992,0,1,0,0,0,1
3,87,1.0396082,1,0.0404992,0,1,0,0,0,1
3,88,-0.338842,1,-0.951318,0,1,0,0,0,1
3,90,0.8219882,1,-0.620713,0,1,0,0,0,1
3,94,2.1029752,0,0.9496652,1,0,0,0,0,1
3,98,1.5061852,0,0.9496652,1,0,0,0,0,1
3,102,1.1094382,1,0.2058022,0,1,0,0,0,1
3,103,0.1340672,1,0.6190592,1,0,0,0,0,1
3,104,0.8965662,0,1.1976192,1,0,0,0,0,1
3,119,-0.699505,1,0.7017112,1,0,0,0,0,1
3,120,0.1340672,1,-0.538061,0,1,0,0,0,1
3,121,2.4086922,1,1.4455742,1,0,0,0,0,1
3,122,0.8965662,1,-0.124804,0,1,0,0,0,1
3,123,-0.062088,1,-1.860484,0,0,1,0,0,1
3,125,1.1758492,0,0.1231502,0,1,0,0,0,1
3,134,0.0043222,1,-0.042152,0,1,0,0,0,1
3,136,-0.197611,0,-0.042152,0,1,0,0,0,1
3,169,2.9246672,0,1.3629222,1,0,0,0,0,1
3,171,-0.699505,0,1.3629222,1,0,0,0,0,1
3,172,1.8138272,1,1.1976192,1,0,0,0,0,1
3,173,0.4026692,0,0.2884532,0,1,0,0,0,1
3,180,-1.118624,1,-1.116621,0,0,1,0,0,1
3,181,0.1340672,0,0.3711052,0,1,0,0,0,1
3,188,0.7472282,1,0.6190592,1,0,0,0,0,1
3,194,1.5792202,0,0.7017112,1,0,0,0,0,1
3,195,0.2613242,0,1.1976192,1,0,0,0,0,1
3,197,0.6787592,0,-0.620713,0,1,0,0,0,1
3,204,1.9771072,1,2.4373912,1,0,0,0,0,1
3,206,-0.265159,0,1.2802712,1,0,0,0,0,1
3,207,1.5061852,0,-0.207455,0,1,0,0,0,1
3,208,0.2613242,1,-0.207455,0,1,0,0,0,1
3,211,1.3747412,1,0.3711052,1,0,0,0,0,1
3,212,0.9675862,0,0.2058022,0,1,0,0,0,1
3,219,0.4026692,0,0.2884532,0,1,0,0,0,1
4,5,0.5443412,1,1.1976192,1,0,0,0,1,0
4,6,2.1029752,0,2.2720892,1,0,0,0,1,0
4,10,1.5792202,0,-0.538061,0,1,0,0,1,0
4,12,1.0396082,0,0.0404992,0,1,0,0,1,0
4,14,1.5061852,1,2.1067862,1,0,0,0,1,0
